config,score,sum_score
1,0.661250,0.661250
2,0.585065,1.246315
3,0.502266,1.748581
4,0.482522,2.231103
5,0.636541,2.867644
6,0.593441,3.461085
7,0.606753,4.067838
8,0.584338,4.652176
9,0.562185,5.214361
10,0.573398,5.787758
11,0.614287,6.402045
12,0.605325,7.007370
13,0.599892,7.607262
14,0.556167,8.163429
15,0.558023,8.721451
16,0.570227,9.291678
17,0.583776,9.875455
18,0.544155,10.419610
19,0.560980,10.980589
20,0.551578,11.532167
21,0.560178,12.092345
22,0.567482,12.659827
23,0.555821,13.215648
24,0.554120,13.769769
25,0.539458,14.309227
26,0.549167,14.858393
27,0.554951,15.413344
28,0.562568,15.975913
29,0.564179,16.540091
30,0.537403,17.077494
31,0.570775,17.648269
32,0.573766,18.222034
33,0.573661,18.795695
34,0.535657,19.331352
35,0.544730,19.876081
36,0.553221,20.429302
37,0.560691,20.989993
38,0.545365,21.535358
39,0.530625,22.065983
40,0.555732,22.621716
41,0.552128,23.173844
42,0.552395,23.726238
43,0.539548,24.265787
44,0.544007,24.809793
45,0.536133,25.345926
46,0.556945,25.902871
47,0.537672,26.440542
48,0.547886,26.988429
49,0.553266,27.541695
50,0.546786,28.088480
