id,x,y,deg
001_0,0.000000,0.000000,45.000000
002_0,0.000000,0.000000,65.879999
002_1,-0.467571,-0.451528,23.399999
003_0,0.000000,0.000000,66.600001
003_1,-0.145153,-0.582177,55.079999
003_2,-0.715970,-0.795165,29.520001
004_0,0.000000,0.000000,102.960005
004_1,0.061672,0.586768,208.080003
004_2,-0.306860,0.629156,61.200001
004_3,-0.694485,0.147617,19.080000
005_0,0.000000,0.000000,105.480005
005_1,-0.224764,-0.556310,110.879999
005_2,0.181441,-0.727722,347.399991
005_3,-0.459627,0.385673,136.440003
005_4,0.469846,0.171010,44.280001
006_0,0.000000,0.000000,105.480005
006_1,0.221018,0.547038,99.000002
006_2,-0.672883,0.192946,14.400001
006_3,-0.985058,1.260817,161.640011
006_4,0.110800,1.054193,77.040006
006_5,-1.105307,-0.234940,13.320000
007_0,0.000000,0.000000,105.480005
007_1,0.221018,0.547038,99.000002
007_2,-0.595526,0.661399,44.280001
007_3,-1.144433,-0.243257,249.999990
007_4,-1.059713,0.471815,149.399997
007_5,0.263023,-0.539276,352.079995
007_6,0.104528,0.994522,71.280000
008_0,0.000000,0.000000,105.480005
008_1,0.221018,0.547038,99.000002
008_2,-0.595526,0.661399,44.280001
008_3,-1.158614,-0.162833,240.479994
008_4,0.125434,1.193426,142.920005
008_5,-1.059537,0.563366,136.440003
008_6,-0.509465,1.260970,79.560000
008_7,-1.355899,1.137734,150.840000
009_0,0.000000,0.000000,105.480005
009_1,0.221018,0.547038,99.000002
009_2,-0.595526,0.661399,44.280001
009_3,-1.158614,-0.162833,240.479994
009_4,0.121253,1.153645,140.039999
009_5,-1.096255,0.488084,144.000002
009_6,-0.401722,1.236373,68.039998
009_7,-1.318187,1.463995,145.440005
009_8,0.369397,-0.472806,102.599999
010_0,0.000000,0.000000,105.480005
010_1,0.221018,0.547038,99.000002
010_2,-0.595526,0.661399,44.280001
010_3,-1.158614,-0.162833,240.479994
010_4,0.121253,1.153645,140.039999
010_5,-1.059537,0.563366,137.879995
010_6,-1.424293,1.375424,162.719997
010_7,-0.525329,1.616796,200.880010
010_8,0.498037,-0.181271,125.279996
010_9,0.546926,1.353688,54.359998
011_0,0.000000,0.000000,105.480005
011_1,0.221018,0.547038,99.000002
011_2,-0.595526,0.661399,44.280001
011_3,-1.158614,-0.162833,240.479994
011_4,0.121253,1.153645,140.039999
011_5,-1.059537,0.563366,137.879995
011_6,-1.402713,1.354584,174.239999
011_7,-0.291729,1.654477,158.760005
011_8,0.519081,-0.148844,125.640002
011_9,-0.762766,1.563902,77.040001
011_10,0.659308,1.631844,108.000004
012_0,0.000000,0.000000,105.480005
012_1,0.221018,0.547038,99.000002
012_2,-0.595526,0.661399,44.280001
012_3,-1.158614,-0.162833,240.479994
012_4,0.121253,1.153645,140.039999
012_5,-1.059537,0.563366,137.879995
012_6,-1.402713,1.354584,174.239999
012_7,0.332457,-0.425526,113.760005
012_8,-1.643845,-0.231027,153.719995
012_9,-0.401722,1.236373,68.039998
012_10,-1.710241,0.622477,151.919997
