tree_id,center_x,center_y,angle
0,0.0000,0.0000,0.0000
1,0.2158,-0.2084,179.0000
2,-0.2877,-0.2779,143.0000
3,0.4316,0.4168,216.0000
4,-0.4316,0.4168,8.0000
5,0.7913,0.7641,0.0000
6,0.1563,0.8863,0.0000
7,-0.6983,-0.0488,117.0000
8,0.5033,-0.7461,218.0000
9,-0.9193,0.7713,15.0000
10,0.9397,-0.3420,245.0000
11,-0.8699,-0.9661,62.0000
12,1.0973,0.0767,283.0000
13,1.2229,1.1809,216.0000
14,-0.0349,-0.9994,104.0000
15,-0.3145,1.2614,3.0000
16,-1.1883,0.1670,22.0000
17,1.1375,-1.2633,219.0000
18,-1.3667,1.3199,44.0000
19,1.0625,1.5752,0.0000
20,-1.2948,-1.2504,86.0000
21,-0.9000,1.5588,357.0000
22,1.6853,1.4141,0.0000
23,-1.6341,-0.4686,84.0000
24,0.4113,1.6495,314.0000
25,0.2257,-1.2803,199.0000
26,1.6180,-1.1756,247.0000
27,-1.6835,0.2366,48.0000
28,-0.7014,-1.4381,115.0000
29,-1.4776,1.8912,0.0000
30,1.7303,-0.4961,251.0000
31,-1.7659,0.9389,72.0000
32,1.8585,0.3950,278.0000
33,0.0698,1.9988,0.0000
34,-0.2952,-1.6742,198.0000
35,-2.0142,1.9450,108.0000
36,-1.6545,-1.5977,126.0000
37,2.0142,1.9450,246.0000
38,0.6489,-1.9972,194.0000
39,1.5098,2.2384,0.0000
40,2.2553,0.8208,0.0000
41,1.6007,-2.0488,124.0000
42,-2.1201,-1.3248,79.0000
43,-2.2000,0.0000,40.0000
44,0.5806,2.3287,0.0000
45,1.9422,-1.8756,223.0000
46,2.3738,2.2924,0.0000
47,-2.3738,2.2924,0.0000
48,-0.5564,2.2317,320.0000
49,-0.6489,-1.9972,153.0000
50,-1.0114,2.5034,0.0000
51,-2.3019,-2.2229,90.0000
52,2.2776,-0.3201,286.0000
53,2.4271,-1.7634,249.0000
54,-2.4032,-0.6891,95.0000
55,2.4666,-1.0982,66.0000
56,-1.2000,-2.0785,120.0000
57,-1.7894,2.6529,8.0000
58,0.0872,-2.4985,155.0000
59,2.7388,0.5822,221.0000
60,-0.5036,2.8559,0.0000
61,2.8054,2.7092,216.0000
62,-2.8054,2.7092,8.0000
63,-2.5954,0.7442,46.0000
64,-2.6934,-0.1883,45.0000
65,2.3420,-2.6010,205.0000
66,2.8191,1.0261,259.0000
67,2.8320,-1.2609,202.0000
68,-2.8834,1.8017,16.0000
69,-2.7138,-1.6957,31.0000
70,2.8054,-2.7092,237.0000
71,0.9271,2.8532,296.0000
72,-1.7894,-2.6529,121.0000
73,2.7877,-0.7993,304.0000
74,0.1047,2.9982,294.0000
75,2.7434,3.0469,45.0000
76,1.3151,-2.6964,141.0000
77,-1.1238,-2.7816,167.0000
78,-2.7335,-2.6397,114.0000
79,1.8500,3.2043,0.0000
80,1.7000,-2.9445,180.0000
81,3.1651,3.0565,253.0000
82,-3.1689,-0.4454,50.0000
83,-3.1378,-1.9607,60.0000
84,3.1552,-2.2924,252.0000
85,-3.1301,0.6653,65.0000
86,-1.3111,3.2451,11.0000
87,-0.5036,-2.8559,134.0000
88,3.1974,1.4236,275.0000
89,-3.2370,3.1260,38.0000
90,-2.2368,3.3162,19.0000
91,3.0780,3.4185,0.0000
92,1.1125,3.4238,0.0000
93,-3.1974,1.4236,95.0000
94,3.3801,-1.5049,226.0000
95,0.3658,3.4808,0.0000
96,0.3136,-2.9836,176.0000
