tree_id,center_x,center_y,angle,square_side
0,0.0000,0.0000,0.0000,1.0000
1,0.4568,0.2034,334.0000,1.1575
2,0.3654,-0.1627,244.0000,1.4358
3,1.0760,0.2287,337.0000,1.7481
4,1.1873,-0.7419,348.0000,1.9182
5,-0.0868,-0.4924,235.0000,1.9182
6,-0.4121,-1.0199,23.0000,2.2639
7,-0.4568,0.2034,26.0000,2.3371
8,0.6000,-1.0392,257.0000,2.3454
9,1.5106,-1.4588,337.0000,2.6403
10,0.1359,-1.2929,97.0000,2.6403
11,1.6629,0.3534,335.0000,2.8084
12,1.9734,-0.7182,337.0000,3.1030
13,1.9422,-1.8756,329.0000,3.1641
14,0.8329,-1.7077,90.0000,3.1641
15,1.1000,-1.9053,256.0000,3.3234
16,-0.6180,-1.9021,19.0000,3.3234
17,2.2497,0.4782,12.0000,3.5411
18,2.3738,-2.2924,327.0000,3.7617
19,2.4666,-1.0982,345.0000,3.7617
20,-0.0733,-2.0987,105.0000,3.7617
21,2.5000,0.0000,337.0000,3.7711
22,0.3994,-2.2651,247.0000,3.8479
23,-0.9613,-0.2756,23.0000,4.1056
24,0.3371,0.8345,45.0000,4.1056
25,-0.3371,0.8345,3.0000,4.2206
26,2.6311,0.9577,48.0000,4.2206
27,1.0071,0.9725,14.0000,4.3360
28,-0.9351,0.9031,9.0000,4.3360
29,-1.0959,-2.2470,12.0000,4.3360
30,-1.0790,-1.0420,24.0000,4.3360
31,1.6180,1.1756,51.0000,4.3360
32,-1.4617,0.6508,23.0000,4.6492
33,0.4326,1.3315,328.0000,4.6492
34,-1.5844,-0.2227,23.0000,4.7719
35,-1.5321,-1.2856,156.0000,4.7719
36,-1.5106,1.4588,308.0000,4.7719
37,2.4593,1.5368,346.0000,4.9002
38,0.0558,1.5990,3.0000,4.9852
39,1.7264,1.6672,25.0000,4.9852
40,-0.6743,1.6689,6.0000,5.0518
41,-1.8703,1.8061,27.0000,5.1062
42,-1.9425,-1.0328,341.0000,5.1388
43,-2.0673,0.7524,23.0000,5.2548
44,-2.0074,-2.2294,11.0000,5.2548
45,-2.1946,-0.1535,23.0000,5.3822
46,0.5080,2.0376,40.0000,5.3822
47,0.9644,1.9773,342.0000,5.3822
48,-1.3980,2.0726,329.0000,5.3822
49,2.0074,2.2294,56.0000,5.3822
