num_trees,greedy_score,sa_score,improvement,improvement_pct,time_seconds,max_iterations,actual_ffe
1,1.000000,0.661264,0.338736,33.873573,0,598,2996
2,0.728150,0.537926,0.190224,26.124325,31,597,2997
3,0.751084,0.488928,0.262155,34.903620,70,596,2998
4,0.687319,0.519312,0.168007,24.443767,107,595,2999
5,0.835417,0.547219,0.288197,34.497459,150,594,3000
6,0.745798,0.533621,0.212177,28.449719,196,592,2996
7,0.681815,0.506913,0.174902,25.652411,200,591,2997
8,0.767065,0.549487,0.217579,28.365101,248,590,2998
9,0.686653,0.533103,0.153550,22.362091,294,589,2999
10,0.644299,0.537524,0.106776,16.572352,379,588,3000
11,0.674834,0.624681,0.050153,7.431868,31,586,2996
12,0.718705,0.607469,0.111235,15.477174,33,585,2997
13,0.748524,0.571526,0.176998,23.646272,38,584,2998
14,0.695058,0.542309,0.152749,21.976463,44,583,2999
15,0.648721,0.615971,0.032750,5.048397,49,582,3000
16,0.608176,0.608176,0.000000,0.000000,48,580,2996
17,0.685027,0.604171,0.080857,11.803414,61,579,2997
18,0.694073,0.572154,0.121919,17.565693,60,578,2998
19,0.673534,0.567157,0.106377,15.793909,71,577,2999
20,0.701596,0.589174,0.112423,16.023842,85,576,3000
21,0.668187,0.613492,0.054695,8.185598,90,574,2996
22,0.685708,0.573707,0.112001,16.333603,101,573,2997
23,0.655895,0.594777,0.061117,9.318177,110,572,2998
24,0.673465,0.615000,0.058464,8.681107,108,571,2999
25,0.695783,0.593351,0.102433,14.721951,110,570,3000
26,0.669023,0.587332,0.081690,12.210402,109,568,2996
27,0.680493,0.605802,0.074691,10.975988,115,567,2997
28,0.659556,0.603586,0.055970,8.486052,128,566,2998
29,0.690882,0.610938,0.079944,11.571269,124,565,2999
30,0.667853,0.611732,0.056121,8.403132,135,564,3000
31,0.646309,0.615990,0.030319,4.691175,31,562,2996
32,0.646212,0.630247,0.015965,2.470583,36,561,2997
33,0.643355,0.635603,0.007752,1.204934,42,560,2998
34,0.624432,0.617485,0.006948,1.112639,45,559,2999
35,0.683637,0.599255,0.084381,12.343011,46,558,3000
36,0.664647,0.618854,0.045793,6.889761,47,556,2996
37,0.658419,0.625928,0.032491,4.934751,45,555,2997
38,0.641093,0.621300,0.019793,3.087362,50,554,2998
39,0.624654,0.615687,0.008968,1.435602,55,553,2999
40,0.640030,0.602151,0.037879,5.918248,54,552,3000
41,0.636190,0.619871,0.016319,2.565097,54,550,2996
42,0.635174,0.613364,0.021810,3.433773,56,549,2997
43,0.620403,0.616399,0.004003,0.645256,52,548,2998
44,0.629972,0.594778,0.035193,5.586475,50,547,2999
45,0.659957,0.592833,0.067124,10.171005,48,546,3000
46,0.645611,0.599667,0.045943,7.116226,50,544,2996
47,0.650084,0.628648,0.021435,3.297319,51,543,2997
48,0.636540,0.627532,0.009008,1.415227,52,542,2998
49,0.645266,0.617099,0.028167,4.365155,54,541,2999
50,0.652798,0.614412,0.038386,5.880248,53,540,3000
51,0.639998,0.627483,0.012516,1.955573,58,538,2996
52,0.646146,0.596660,0.049486,7.658587,65,537,2997
53,0.633954,0.606304,0.027650,4.361520,59,536,2998
54,0.622215,0.612412,0.009802,1.575394,58,535,2999
55,0.610902,0.608064,0.002838,0.464552,60,534,3000
56,0.640727,0.607113,0.033613,5.246106,61,532,2996
57,0.669804,0.613638,0.056165,8.385357,61,531,2997
58,0.658255,0.612819,0.045437,6.902623,64,530,2998
59,0.647099,0.616626,0.030472,4.709082,66,529,2999
60,0.636314,0.622079,0.014234,2.237010,75,528,3000
61,0.625882,0.597913,0.027970,4.468836,74,526,2996
62,0.615787,0.606899,0.008888,1.443380,77,525,2997
63,0.624021,0.597886,0.026135,4.188152,78,524,2998
64,0.678728,0.607807,0.070922,10.449240,74,523,2999
65,0.668287,0.589917,0.078369,11.726907,76,522,3000
66,0.663033,0.606820,0.056214,8.478259,79,520,2996
67,0.653137,0.614728,0.038409,5.880719,85,519,2997
68,0.648644,0.605285,0.043359,6.684583,87,518,2998
69,0.651652,0.609180,0.042471,6.517476,89,517,2999
70,0.642342,0.593216,0.049126,7.648006,92,516,3000
71,0.633295,0.605668,0.027627,4.362452,93,514,2996
72,0.644855,0.608362,0.036492,5.659023,93,513,2997
73,0.636021,0.616705,0.019316,3.037010,90,512,2998
74,0.627426,0.614194,0.013232,2.108984,91,511,2999
75,0.642869,0.612463,0.030406,4.729702,105,510,3000
76,0.671314,0.609684,0.061630,9.180444,106,508,2996
77,0.672364,0.608696,0.063668,9.469257,108,507,2997
78,0.663744,0.609215,0.054529,8.215342,113,506,2998
79,0.655342,0.599603,0.055739,8.505283,113,505,2999
80,0.667251,0.605090,0.062161,9.315953,116,504,3000
81,0.659014,0.611452,0.047561,7.217011,120,502,2996
82,0.650977,0.596543,0.054434,8.361907,124,501,2997
83,0.643134,0.586553,0.056581,8.797653,110,500,2998
84,0.635477,0.600835,0.034643,5.451422,111,499,2999
85,0.628571,0.606807,0.021764,3.462492,112,498,3000
86,0.669139,0.605859,0.063280,9.456955,114,496,2996
87,0.661448,0.607748,0.053700,8.118598,110,495,2997
88,0.653932,0.599613,0.054319,8.306483,110,494,2998
89,0.671888,0.610773,0.061115,9.095976,113,493,2999
90,0.664422,0.594617,0.069805,10.506171,125,492,3000
91,0.657121,0.610285,0.046836,7.127433,122,490,2996
92,0.649978,0.602755,0.047223,7.265327,125,489,2997
93,0.661430,0.601155,0.060275,9.112894,125,488,2998
94,0.654394,0.609953,0.044441,6.791137,128,487,2999
95,0.647506,0.605523,0.041983,6.483765,128,486,3000
96,0.640761,0.605794,0.034967,5.457101,132,484,2996
97,0.643242,0.600070,0.043172,6.711634,131,483,2997
98,0.638316,0.612691,0.025625,4.014542,141,482,2998
99,0.635698,0.607377,0.028321,4.455110,144,481,2999
100,0.656227,0.608283,0.047944,7.306010,153,480,3000
