tree_x,tree_y,tree_angle
0,0,202.165
-0.35,-0.606218,12.2633
-0.794653,0.422524,176.75
-0.97082,-0.705342,18.3107
-0.369397,0.472806,253.816
0.559193,-0.829038,120.775
-0.486989,-1.20534,316.939
0.535304,0.594516,185.16
0.865136,-0.248074,183.536
0.950628,-1.40936,72.7693
-1.04662,-1.33962,246.333
-1.32442,0.704207,296.372
1.05739,0.303201,335.5
0.156283,0.886327,66.2468
-1.39659,0.0976591,29.7104
0.86987,0.966088,313.107
-1.04662,1.33962,77.7946
-1.61803,-1.17557,342.557
-1.6776,0.891996,37.0442
-1.79562,-0.125562,181.325
0.0558392,1.59903,231.161
0.277837,-1.57569,107.986
-1.35446,-1.73362,80.2002
1.60869,-1.34985,44.3406
1.67283,-1.85786,117.438
1.78248,0.250512,120.046
1.8264,-0.523711,97.1199
0.789068,1.61783,293.325
1.91511,1.60697,135.762
-0.459652,1.84356,153.23
1.82709,0.813473,215.875
-0.55642,-2.23168,47.3166
-2.08609,-2.01451,226.448
0.364661,-2.0681,225.138
-2.09488,0.146489,20.9628
-2.25526,-0.820848,207.954
-1.94222,1.87558,271.249
-1.01144,-2.5034,55.0701
-2.2944,-0.16044,153.588
1.78942,-2.65292,58.6556
0.0872487,-2.49848,96.1645
2.12012,-1.3248,332.992
2.37474,1.99264,76.4262
2.06832,-1.73553,225.435
-2.03168,-2.60044,134.685
2.27762,-0.320098,342.367
0.896149,-2.75806,242.096
-2.38396,1.26757,154.744
0.679837,2.09232,74.572
2.49928,0.716657,15.1993
2.40887,-2.67532,127.498
-0.725766,-2.91089,273.021
-2.47225,-1.31452,171.609
-1.2362,-3.05971,53.309
-2.30189,2.22291,146.083
0.50358,-2.85594,119.568
2.62895,1.64275,193.902
-0.861595,2.13252,62.8533
2.92335,-1.30156,144.103
2.75776,-2.31404,189.868
3.06983,-0.431437,134.756
3.06418,2.57115,178.658
1.09593,2.24699,284.29
2.9708,0.417519,152.749
3.17216,0.909603,9.43175
0.0942286,2.69836,128.37
2.5427,2.82395,117.251
3.26829,-0.937167,194.877
-1.65,2.85788,146.928
-0.677381,2.71683,105.819
3.29399,-2.76399,326.87
3.36691,0.473189,328.316
0.927051,2.85317,77.9846
3.66399,-0.51494,40.6422
3.47147,1.5456,349.069
-1.85,-3.20429,98.1332
-2.27795,2.91564,133.086
2.87726,-3.19552,241.484
1.90126,2.81873,78.2354
-2.73349,-2.6397,3.45609
-0.344944,3.28192,178.829
-2.89294,-0.202294,354.132
2.87726,3.19552,248.031
3.05297,-1.90771,269.026
-1.27366,3.15243,66.8171
-0.846727,-3.39604,101.813
-2.77048,-3.54605,8.98721
-2.91305,-1.06026,15.6471
-2.91246,2.11603,39.0847
-3.09032,1.64315,192.051
1.08156,-3.3287,123.861
-0.36585,-3.48083,254.089
-2.91373,-1.54926,131.738
2.23677,-3.31615,217.4
1.66581,-3.41542,133.922
-2.1,-3.63731,128.266
-3.22789,0.686109,166.149
-3.1651,3.0565,286.525
-3.23703,-3.12596,33.4063
-3.13987,-4.01885,37.1109
3.54639,-3.93867,325.375
-1.53589,-3.80145,140.073
3.90102,2.43763,55.6459
-1.01607,-4.07524,286.749
3.9,0,349.396
0.711958,-4.03771,242.083
3.84505,-1.10255,199.287
1.97267,-4.04457,90.3983
4.07063,-2.54361,181.171
4.13664,3.47105,143.817
4.11095,1.83031,173.566
2.23677,3.31615,311.285
4.21324,-3.53533,196.052
-3.47686,1.26547,152.228
0.607769,3.44683,67.7301
-3.49147,-0.244148,183.89
1.08156,3.3287,268.06
2.79596,-4.14519,234.842
-3.53179,1.87789,356.903
3.81404,-4.23593,236.164
-3.15517,-2.29236,83.5134
-3.5967,3.47329,291.627
0.139598,-3.99756,216.3
-3.47686,-1.26547,142.159
-0.870919,3.49306,51.5937
4.15913,-0.584527,202.28
3.34565,3.71572,282.276
-3.72148,2.70381,20.6321
-2.55,-4.41673,308.944
-0.470378,-4.47535,330.667
-2.2,3.81051,172.983
-3.88443,-3.75116,215.799
2.19186,-4.49397,254.987
-3.79074,0.265075,154.182
-3.6324,-4.64926,36.1733
-3.88328,-2.82137,145.942
4.24024,2.6496,325.924
-1.13703,-4.56039,126.314
-3.91259,-0.831647,155.626
4.47637,-1.99301,91.1664
-3.95637,3.82062,141.097
0.816146,-4.6286,230.788
0.167518,-4.79708,233.976
-3.94671,1.43648,33.1089
4.55523,0.640196,59.2
4.48318,-4.97907,321.448
1.84116,3.77493,86.043
1.60689,-4.94549,259.809
3.29924,-4.89132,237.45
4.4,0,214.119
-2.9,-5.02295,14.7533
-4.0018,-5.12207,279.194
-4.20603,0.89402,162.877
-0.533095,-5.07206,254.126
-4.41474,-2.34736,251.649
4.56773,2.03368,330.892
-1.98541,-4.91407,106.59
-4.38797,-4.23742,172.865
-0.407661,3.87864,300.218
4.90243,1.40575,124.609
4.74907,-2.96755,178.837
4.82608,4.04956,117.533
4.93315,-2.19638,135.516
-4.14985,2.20652,21.3766
-3.20144,4.09766,91.9496
2.9078,4.311,139.453
-1.04026,4.17227,89.6621
-2.45,4.24352,72.3971
-4.51052,-1.6417,347.489
-4.48904,-0.313904,16.6965
0.729322,4.13619,111.573
5.08829,3.17952,46.729
-1.30638,-5.2396,249.256
1.39058,4.27975,277.409
4.99856,-1.43331,38.7836
3.88096,4.31024,97.2071
-4.60377,4.44581,201.742
2.54255,-5.21301,309.36
-4.5305,-3.2916,33.322
5.2,0,56.1588
-4.69846,1.7101,178.805
-4.69511,-0.997976,24.0844
-3.57084,4.57046,122.822
-4.6923,3.40915,31.4514
4.67287,-3.921,230.063
-4.1865,-5.35847,107.278
4.95157,-5.49927,325.208
5.05037,0.709783,332.261
-1.87303,4.63592,170.193
5.14939,-0.7237,321.002
0.164028,4.69714,126.518
-4.67962,2.4882,149.274
-0.491284,4.67425,62.6596
4.21552,4.68181,253.268
5.48127,2.44042,134.229
5.28571,4.43523,37.8694
0.816146,4.6286,308.517
5.28694,-1.51601,211.751
5.48127,-2.44042,150.872
1.57599,4.85039,293.146
