tree_x,tree_y,tree_angle
0,0,95.419
0.121554,-0.689365,342.207
-0.794653,-0.422524,272.812
-0.566312,0.41145,138.669
0.219186,0.449397,74.7121
0.594161,0.0835039,350.665
0.802957,-0.891774,30.6951
-0.338691,-1.35841,3.15446
1.1,0,188.431
0.950628,-1.40936,314.607
-1.05172,0.764121,292.736
1.07246,0.899903,166.131
0.0523492,-1.49909,283.625
-0.935142,-0.903056,189.342
-1.29289,-1.65482,243.422
-1.2216,-0.444626,138.441
0.364661,-2.0681,330.546
-1.59748,0.581434,219.571
0.920579,-1.88747,228.462
-0.21951,-2.0885,36.8186
-1.72385,-2.20643,281.234
-1.65448,-1.59771,38.17
-1.79562,0.125562,146.733
-1.87939,0.68404,31.216
0.526045,1.07855,107.059
-2.22995,-2.15344,141.201
-2.4432,-0.889252,193.28
-2.49391,0.174391,6.22681
-0.936516,-2.31796,162.623
-0.271774,-2.58576,126.336
0.50358,-2.85594,319.854
-1.22288,1.18092,75.7642
1.53209,1.28558,88.0909
1.53802,0.44102,186.625
1.27128,-2.6065,138.379
-2.15482,-2.75804,275.969
1.539,-1.70923,336.063
-2.54318,-0.54057,325.878
1.91845,-0.854147,40.1245
1.90126,-2.81873,136.473
1.82709,0.813473,353.727
-0.314498,1.26138,299.385
0.111678,-3.19805,77.0457
-2.58578,-3.30965,27.6882
-1.8,-3.11769,238.124
-2.82543,1.50231,226.271
-2.73714,-1.45536,146.313
-0.75,1.29904,47.2745
-0.846727,-3.39604,251.973
-2.99269,0.209269,26.7875
0.789068,1.61783,59.4807
-3.38289,-1.23127,311.962
1.11246,-3.4238,86.9827
-2.05,-3.5507,112.439
-2.18435,1.58702,288.381
-3.09245,-0.216245,144.779
1.75348,-3.59518,317.499
-3.30896,-3.19543,338.991
-3.19495,1.16287,50.5849
1.87357,-2.08081,203.887
-3.62009,-1.92483,231.085
-2.89361,-3.70365,106.823
2.14492,1.79981,190.14
2.17859,0.306181,162.782
-3.17861,1.6901,16.922
-0.198604,1.88959,80.2626
1.87357,2.08081,122.829
-3.66863,-3.54276,16.3321
-3.69099,0.258099,158.736
2.20493,-1.37779,194.4
-2.75066,1.99847,273.619
2.30703,-0.66153,339.392
0.772542,2.37764,215
2.46045,-3.64777,347.023
2.49928,0.716657,338.313
-1.0489,2.59611,170.702
2.52795,2.1212,23.7972
-3.79667,2.01873,24.7614
0.0837588,2.39854,71.729
-1.72385,2.20643,76.0439
1.31511,2.69638,171.554
2.60455,-2.18548,193.891
-3.85274,-1.40228,350.564
-3.81478,0.810856,0.525105
0.129128,-3.69775,272.488
2.74064,-1.22021,343.182
-1.7,2.94449,207.734
-2.21638,2.83684,119.207
-3.64058,2.64503,298.653
0.486215,2.75746,57.9606
2.96817,1.85472,132.603
2.06901,3.06744,156.067
-3.55967,-2.58626,51.2013
-0.334491,3.18247,130.368
3,0,32.3144
3.06418,2.57115,53.0351
3.01109,-3.34415,346.383
1.01976,3.13849,69.2624
-0.967688,-3.88118,110.06
2.79856,-1.74873,311.746
3.26788,-0.459271,163.948
3.17216,0.909603,192.473
2.79596,-4.14519,317.09
1.29787,-3.99444,279.349
3.30739,-2.06669,202.246
3.477,2.17267,89.9115
-0.407661,-3.87864,146.082
3.60041,3.0211,87.1192
0.746687,-4.23467,85.4167
-4.0283,-3.89009,228.151
-1.79811,-4.45048,38.8142
3.56283,1.58627,329.258
-2.58578,3.30965,275.623
3.7,0,333.824
3.68022,-4.0873,127.277
3.60041,-3.0211,206.453
3.65279,-1.04742,170.637
2.29269,3.39905,273.174
2.14802,-4.40409,350.157
-1.42351,3.5233,209.729
-3.45283,3.33436,251.343
1.70965,3.5053,139.988
-2.45,-4.24352,93.878
3.98583,2.49062,346.361
4.07063,-2.54361,33.4086
0.125638,3.59781,63.8743
3.21183,3.5671,265.119
4.13343,1.18524,13.4047
3.76302,-0.528858,233.794
1.23607,3.80423,106.471
-3.07831,3.94005,252.294
4.32568,-1.24037,136.331
-2.25,3.89711,264.125
4.28985,3.59961,35.2848
-3.8125,3.68169,171.022
1.97267,4.04457,252.015
4.3,0,324.452
4.40985,-2.75558,180.385
4.38502,1.95234,345.996
-0.99188,3.97821,77.1598
4.14861,-4.6075,348.165
-4.20603,-0.89402,12.2759
-4.28779,-3.11526,350.479
4.20231,-1.87099,226.246
0.764052,4.33315,154.179
-4.32259,1.57329,357.608
1.48328,-4.56507,255.402
-4.36869,3.17404,350.991
3.61331,4.01298,52.45
-4.18977,0.292977,30.8456
4.59627,-3.85673,348.695
0.167518,-4.79708,42.0655
-3.87867,-4.96447,12.5844
4.65426,-0.654114,346.105
4.61406,1.32306,205.638
1.35967,4.18465,296.503
2.41104,-4.94337,308.389
-4.2441,4.09848,299.941
-1.20961,-4.85148,284.108
-4.32259,-1.57329,144.946
4.74907,2.96755,52.5669
-2.8,-4.84974,48.0547
-1.98541,-4.91407,111.487
0.868241,-4.92404,103.56
0.150068,4.29738,101.513
-4.6923,-3.40915,219.807
-4.45991,-4.30688,179.325
-3.38614,4.33406,283.621
-4.67571,4.51528,173.969
3.24332,-4.80842,231.379
4.55009,-5.05338,328.514
-1.83557,4.5432,106.499
2.85188,4.22809,72.834
4.0817,4.53318,242.851
-4.88806,-0.341807,310.655
-4.85621,2.58209,354.619
-4.69511,-0.997976,142.047
-4.85621,-2.58209,172.621
-0.491284,4.67425,87.9943
-4.78831,0.334831,125.415
0.833511,4.72708,54.0133
-5.08637,1.08114,334.308
-4.89151,-4.72368,42.9851
1.57599,4.85039,262.608
3.24332,4.80842,234.301
-3.75553,4.80687,72.9147
-2.85,4.93634,74.766
-5.07434,1.84691,23.829
-5.09681,3.70305,39.4321
-1.2338,4.94851,64.5666
4.80631,-1.37819,335.284
-5.03538,4.86261,307.977
4.48318,4.97907,60.3017
-5.42041,-3.93816,315.689
-5.47428,2.91072,315.917
-5.38685,0.376685,19.8894
-5.38685,-0.376685,204.092
-0.533095,-5.07206,243.788
-5.47428,-2.91072,336.632
-5.35625,-1.94951,19.4661
