tree_id,center_x,center_y,angle
0,0.0000,0.0000,0.0000
1,0.5869,0.1247,0.0000
2,-0.5481,0.2440,0.0000
3,-0.4000,-0.6928,0.0000
4,0.4000,-0.6928,0.0000
5,0.1563,0.8863,0.0000
6,-1.0973,0.0767,0.0000
7,1.0574,-0.3032,0.0000
8,1.0517,0.7641,0.0000
9,-0.4017,1.2364,0.0000
10,-0.9351,-0.9031,0.0000
11,-0.9368,1.0404,0.0000
12,0.8619,-1.1032,0.0000
13,-0.0523,-1.4991,0.0000
14,1.6000,0.0000,0.0000
15,0.5994,1.4835,0.0000
16,-1.5650,-0.3327,0.0000
17,-1.5010,0.7981,0.0000
18,1.6113,1.0068,0.0000
19,0.0663,1.8988,0.0000
20,-0.7118,-1.7616,0.0000
21,0.4597,-1.8436,0.0000
22,1.4555,-1.2213,0.0000
23,-1.4387,-1.3893,0.0000
24,1.1743,1.7410,0.0000
25,-2.0541,0.4366,0.0000
26,2.0541,-0.4366,0.0000
27,2.1148,0.6064,0.0000
28,-0.5322,2.1347,0.0000
29,-1.1000,1.9053,0.0000
30,-2.1148,-0.6064,0.0000
31,1.0083,-2.0672,0.0000
32,-1.7264,1.6672,0.0000
33,-0.2509,-2.3869,0.0000
34,2.0225,-1.4695,0.0000
35,2.6000,0.0000,0.0000
36,1.7397,1.9322,0.0000
37,0.6290,2.5228,0.0000
38,-2.6000,0.0000,0.0000
39,-1.9917,-1.6712,0.0000
40,-1.3000,-2.2517,0.0000
41,2.2897,1.4308,0.0000
42,-2.2897,1.4308,0.0000
43,0.2822,-2.6852,0.0000
44,-0.0977,2.7983,0.0000
45,1.5657,-2.3213,0.0000
46,2.5579,-1.1389,0.0000
47,-2.7251,-0.9919,0.0000
48,2.8838,0.8269,0.0000
49,1.3151,2.6964,0.0000
50,-0.9271,2.8532,0.0000
51,-1.5000,2.5981,0.0000
52,-2.8191,1.0261,0.0000
53,-0.7258,-2.9109,0.0000
54,3.0323,-0.6445,0.0000
55,-2.1412,2.3781,0.0000
56,-3.1922,0.2232,0.0000
57,-2.5889,-1.8809,0.0000
58,-1.7894,-2.6529,0.0000
59,0.7742,-3.1049,0.0000
60,2.2081,2.4524,0.0000
61,2.2081,-2.4524,0.0000
62,3.3917,0.2372,0.0000
63,2.7507,1.9985,0.0000
64,0.3554,3.3814,0.0000
65,-3.3257,-0.7069,0.0000
66,-0.1187,-3.3979,0.0000
67,2.7507,-1.9985,0.0000
68,-2.8316,2.0572,0.0000
69,1.8000,3.1177,0.0000
70,-3.2888,1.4643,0.0000
71,-3.1786,-1.6901,0.0000
72,-1.3486,-3.3379,0.0000
73,1.3486,-3.3379,0.0000
74,3.2888,-1.4643,0.0000
75,3.4769,1.2655,0.0000
76,1.1434,3.5189,0.0000
77,-0.3868,3.6797,0.0000
78,-1.6658,3.4154,0.0000
79,-3.7170,0.7901,0.0000
80,-3.7907,-0.2651,0.0000
81,-2.3395,-2.9944,0.0000
