tree_id,center_x,center_y,angle
0,0.0000,0.0000,0.0000
1,0.4243,0.4243,218.0000
2,-0.4243,0.4243,23.0000
3,-0.2121,-0.2121,167.0000
4,0.2575,-0.4286,181.0000
5,-0.6688,-0.6022,43.0000
6,0.5033,0.7461,0.0000
7,-0.1717,0.8835,0.0000
8,0.6923,-0.8549,202.0000
9,-0.9848,0.1736,0.0000
10,0.9508,0.8866,236.0000
11,1.1025,-0.6889,0.0000
12,-1.0607,1.0607,82.0000
13,-0.9192,-0.9192,95.0000
14,0.9851,1.2608,0.0000
15,-0.0576,-1.0985,101.0000
16,-0.5917,1.2688,14.0000
17,-1.3703,-0.6101,0.0000
18,-1.4849,1.4849,0.0000
19,1.2021,-1.2021,234.0000
20,1.4387,1.3893,232.0000
21,0.3327,1.5650,0.0000
22,1.5301,-0.4678,251.0000
23,-1.5803,0.2503,5.0000
24,1.4784,1.7619,0.0000
25,-1.3435,-1.3435,123.0000
26,1.3966,0.0977,302.0000
27,0.3387,-1.3584,145.0000
28,-0.2816,1.7778,331.0000
29,-1.7357,-0.7728,85.0000
30,-1.9092,1.9092,23.0000
31,1.9422,1.8756,225.0000
32,-0.6642,-1.5649,118.0000
33,1.9015,-1.7732,153.0000
34,-0.9644,1.9773,21.0000
35,-1.9773,0.9644,60.0000
36,-1.8766,-0.2972,34.0000
37,2.0796,-0.2923,0.0000
38,0.7884,2.0539,3.0000
39,0.6186,-1.7965,168.0000
40,-0.2783,-1.9805,157.0000
41,-1.9799,-1.9799,100.0000
42,2.1298,-1.4913,257.0000
43,2.0074,2.2294,0.0000
44,2.2317,0.5564,0.0000
45,-0.5564,2.2317,0.0000
46,1.0896,-2.1384,156.0000
47,-1.6634,2.3755,0.0000
48,-1.9897,-1.3421,67.0000
49,-2.3483,1.5250,22.0000
50,2.4470,-1.1411,0.0000
51,-1.3248,-2.1201,116.0000
52,-2.3821,-0.2925,59.0000
53,0.2179,2.4905,0.0000
54,2.4458,2.3618,237.0000
55,2.1534,-2.2300,175.0000
56,-2.4692,0.3911,5.0000
57,1.3166,2.5839,0.0000
58,-2.5177,2.4313,33.0000
59,2.5456,-2.5456,201.0000
60,0.1674,-2.3942,143.0000
61,2.5937,-0.1814,259.0000
62,2.6140,1.0034,240.0000
63,-0.8893,-2.4432,199.0000
64,-2.4871,-1.6776,37.0000
65,2.4758,2.7496,0.0000
66,-1.0261,2.8191,0.0000
67,-2.4042,-2.4042,133.0000
68,-2.1064,2.7952,5.0000
69,-2.7615,1.1722,69.0000
70,2.9532,-2.3914,0.0000
71,-2.8834,1.8017,49.0000
72,-2.8012,-0.7506,15.0000
73,2.8320,-1.2609,279.0000
74,2.9493,2.8481,221.0000
75,-2.8751,-2.1665,33.0000
76,-0.3778,3.0769,0.0000
77,1.2679,-2.7189,181.0000
78,1.8541,3.0858,0.0000
79,0.8023,2.9944,15.0000
80,-3.1113,3.1113,0.0000
81,1.7000,-2.9445,230.0000
82,3.0808,1.1826,268.0000
83,-2.9776,0.3656,29.0000
84,-3.0406,-3.0406,65.0000
85,-1.2609,-2.8320,82.0000
86,3.0008,3.2180,0.0000
87,0.5533,-2.8467,142.0000
88,3.0406,-3.0406,268.0000
89,-1.5214,3.2627,0.0000
90,-3.1742,-1.2185,42.0000
91,-3.3543,-2.5276,0.0000
92,-3.2754,-0.4022,46.0000
93,-1.9077,-3.0530,113.0000
94,3.3995,-0.0593,0.0000
